Employee Number (Person),Employment Status (Person),Post Type (Post Profile),Appointment Status (Appointment),Pay Group (Person),Full Name (Person),Grade,Post Title (Post Profile),Directorate,Department,Family Friendly Absence Days,Absence Days,Sick Days,Certified Sick Days,Certified Sick Paid Days,Certified Sick Unpaid Days,Self Certified Sick Days,Self Certified Sick Paid Days,Annual Accrued Entitlement,Annual Floating Entitlement,Annual Carried Forward,Annual Total Entitlement,Annual Taken,Annual Balance,Annual Booked,Annual Balance Less Booked
100743,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Spencer Wilson,3,ADMINISTRATIVE OFFICER,FINANCE & WATER SERVICES,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101060,101098,No Sick Leave Record,100058,0,30,3,20.5,27,22.5,12,8.5
101260,Live,PW,CO,SALARIES,John Sherman,6,ASSISTANT STAFF OFFICER,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100144,100750,0,100218,0,30,No Annual Leave Record,No Annual Leave Record,No Annual Leave Record,12,0,12.5
101045,Live,PW,CO,SALARIES,Donna Rodriguez,3,SENIOR STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,PARKS,0,No Sick Leave Record,0,2,101201,100764,No Sick Leave Record,100263,0,No Annual Leave Record,1,13,20.5,20,8,No Annual Leave Record
100824,Live,PW,CO,SALARIES,Michael Blake,6,ASSISTANT STAFF OFFICER,PLANNING & ECONOMIC DEVELOPMENT,INFRASTRUCTURE & CLIMATE CHANGE,0,0,No Sick Leave Record,No Sick Leave Record,100013,101048,No Sick Leave Record,100813,0,26,3.5,32.5,18,9.5,10,11.5
100616,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Richard Johnson,6,SENIOR INSPECTOR,INFRASTRUCTURE & CLIMATE CHANGE,ARCHITECTS,0,2,No Sick Leave Record,0,100524,100823,0,101070,0,29,0,27,21.5,6.5,3,11.5
101350,Live,TP,CO,FORTNIGHTLY WAGES - DLR,David Mueller,4,SENIOR EXECUTIVE ARCHITECT,"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,No Sick Leave Record,0,16,0,100068,100403,No Sick Leave Record,100911,No Annual Leave Record,24,2,28.5,14,5,3,8
100618,Live,PW,CO,SALARIES,Jamie Burgess,No Grade,CLERICAL OFFICER,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,2,0,100408,101319,No Sick Leave Record,101131,0,25,No Annual Leave Record,26,13,No Annual Leave Record,10,11
101064,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Meghan Guzman,7,CHARGEHAND GARDEN,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100109,100280,No Sick Leave Record,100215,0,30,3,33,9.5,10,3,13.5
100041,Live,PW,CO,SALARIES,Melissa Donovan,5,GENERAL OPERATIVE,"COMMUNITY, CULTURAL SERVICES & PARKS",WATER SERVICES,0,0,2,0,100855,100854,No Sick Leave Record,100286,0,30,0.5,35,22,20,17,7.5
100597,Live,PW,CO,SALARIES,Scott Ochoa,3,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,CORPORATE SERVICES,No Sick Leave Record,8.7,0,No Sick Leave Record,100213,100590,0,101361,0,32,0,31,16,17.5,10,7
100893,Live,TP,CO,SALARIES,Vincent Lee,4,CLERICAL OFFICER,PLANNING & ECONOMIC DEVELOPMENT,HOUSING,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100594,101162,No Sick Leave Record,100676,0,30,3.5,35.5,23,19,3,5.5
100819,Live,PW,CO,SALARIES,Kelly Gonzalez,3,SCHOOL WARDEN,PLANNING & ECONOMIC DEVELOPMENT,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,100567,100589,7,100580,0,30,5,34,18,7,3,No Annual Leave Record
100047,Live,PW,CO,SALARIES,Evelyn Williamson,5,SENIOR STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",PARKS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101298,101148,No Sick Leave Record,100899,0,30,0,29.5,26,17,3,15
101095,Live,PW,CO,SALARIES,Melissa Burch,7,GENERAL OPERATIVE,INFRASTRUCTURE & CLIMATE CHANGE,PARKS,0,No Sick Leave Record,0,0,100668,100263,No Sick Leave Record,101082,0,30,No Annual Leave Record,35,9.5,18,13,10.5
100273,Live,PW,CO,SALARIES,Eric Moody,No Grade,GENERAL OPERATIVE,PLANNING & ECONOMIC DEVELOPMENT,PLANNING,No Sick Leave Record,0,17,0,100083,100414,No Sick Leave Record,100799,0,24,1,23,17,14,7,19
100748,Live,PW,CO,SALARIES,Amanda Pena,3,WATER INSPECTOR,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100166,100757,0,100424,0,30,9.5,30,5,8.5,9,10.5
100429,Live,PW,CO,SALARIES,April Brown,7,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,0,0.04,0,9.5,101348,101090,0,100499,0,28,5,34,16,17,20,6
100756,,PW,CO,SALARIES,Hunter Koch,No Grade,ASSISTANT ENGINEER,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,3,No Sick Leave Record,No Sick Leave Record,100084,100515,No Sick Leave Record,100798,0,30,4,31.5,14.5,14,3,No Annual Leave Record
101168,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Amanda Shannon,No Grade,SENIOR PLANNER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0.06,0,No Sick Leave Record,101127,101104,No Sick Leave Record,100028,0,32,5,28.5,22,11,20,8.5
101021,Live,PW,CO,SALARIES,Todd Rivera,4,SCHOOL WARDEN,PLANNING & ECONOMIC DEVELOPMENT,CORPORATE SERVICES,0,24,No Sick Leave Record,0,100990,100220,No Sick Leave Record,100839,0,30,5,25.5,13.5,17,9,6
100878,Live,PW,CO,SALARIES,Emma Bond,No Grade,ANALYST PROGRAMMER,PLANNING & ECONOMIC DEVELOPMENT,FINANCE,0,1.15,No Sick Leave Record,No Sick Leave Record,100331,101041,No Sick Leave Record,100630,0,30,0,37,16,14.5,3,16.5
100598,Live,PW,CO,SALARIES,Jonathan Sosa,7,LIBRARY ASSISTANT,FINANCE & WATER SERVICES,COMMUNITY,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,101236,100591,No Sick Leave Record,101193,0,15,3,29,No Annual Leave Record,15,4.5,12.5
101279,Live,PW,CO,SALARIES,Kent Smith,6,STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,PARKS,No Sick Leave Record,0.51,No Sick Leave Record,No Sick Leave Record,100701,101314,No Sick Leave Record,100210,0,24,5,No Annual Leave Record,21,13,2,24
100784,Live,PW,CO,SALARIES,Stephen Davies,No Grade,GENERAL OPERATIVE,PLANNING & ECONOMIC DEVELOPMENT,PLANNING,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100514,100032,No Sick Leave Record,101331,0,28,No Annual Leave Record,29,21,11.5,0,0
100976,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Johnny Brown,7,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,5,0,100521,100089,No Sick Leave Record,100214,0,28,5,33,10,12,14,5.5
100091,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Elizabeth Olson,8,SENIOR ENGINEER,"COMMUNITY, CULTURAL SERVICES & PARKS",CHERRYWOOD,No Sick Leave Record,1,1,0,100361,100357,0,100297,0,27,No Annual Leave Record,25,20.5,21.5,3,13
101197,Live,PW,CO,SALARIES,Tanner Osborne,7,SCHOOL WARDEN,INFRASTRUCTURE & CLIMATE CHANGE,WATER SERVICES,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100492,100528,0,101111,0,24,2,35,23,15,5,5.5
100245,Live,TP,CO,SALARIES,John Williams,6,PUBLIC ARTS COORDINATOR TEMP,INFRASTRUCTURE & CLIMATE CHANGE,FINANCE,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,100238,100611,0,101297,0,24,2.5,14,4,15.5,3,21
100252,Live,TP,CO,SALARIES,Larry Fox,No Grade,SENIOR STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,0,No Sick Leave Record,100009,101277,3,100426,0,32,5,23,15,No Annual Leave Record,0,10
101342,Live,PW,CO,SALARIES,John Neal,7,GENERAL OPERATIVE,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,0,0,No Sick Leave Record,No Sick Leave Record,101152,100772,No Sick Leave Record,101215,0,30,4,35,16,No Annual Leave Record,No Annual Leave Record,4.5
101067,Live,PW,CO,SALARIES,Thomas Pennington,7,SCHOOL WARDEN,INFRASTRUCTURE & CLIMATE CHANGE,ARCHITECTS,0,No Sick Leave Record,7,No Sick Leave Record,100107,100949,0,101237,0,24,2.5,28,15.5,11.5,5,4.5
100439,Live,PW,CO,SALARIES,Steven Garcia,3,AREA COMMUNITY OFFICER,ARCHITECTS,CORPORATE SERVICES,No Sick Leave Record,No Sick Leave Record,0,0,101099,100981,0,101317,0,No Annual Leave Record,No Annual Leave Record,No Annual Leave Record,20.5,No Annual Leave Record,No Annual Leave Record,1.5
100686,Live,TW,CO,SALARIES,Patricia Mitchell PhD,7,CE SCHEME,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,0,No Sick Leave Record,0,No Sick Leave Record,100568,100602,0,101044,0,27,3.5,31,29,10,0,No Annual Leave Record
100938,Live,PW,CO,SALARIES,Jennifer Wall,7,SENIOR EXECUTIVE ENGINEER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100480,101175,1,100472,0,24,4,35,8,13,4,10
100044,Live,PW,CO,SALARIES,Megan Ramos,3,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100591,100578,0,101113,0,No Annual Leave Record,No Annual Leave Record,25.5,17,27,3,8
100518,Live,PW,CO,SALARIES,Stephanie Hall,No Grade,MANAGEMENT ACCOUNTANT,FORWARD PLANNING INFRASTRUCTURE,HOUSING,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,100924,101107,No Sick Leave Record,100850,0,30,2,No Annual Leave Record,22.5,No Annual Leave Record,2,13.5
101327,Live,PW,CO,SALARIES,Christian Hill,6,RATE COLLECTOR RATHDOWN,"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,100881,100534,No Sick Leave Record,100561,0,No Annual Leave Record,4.5,32,14.5,8,3,No Annual Leave Record
101004,Live,PW,CO,SALARIES,Matthew Ford,No Grade,SUPERVISOR INSPECTOR MAINTENANCE/CLEAN,"COMMUNITY, CULTURAL SERVICES & PARKS",PARKS,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100471,101051,No Sick Leave Record,101188,0,24,5,29,14,7,8,7.5
101220,Live,PW,CO,SALARIES,Willie Jones,6,ASSISTANT STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,CORPORATE SERVICES,No Sick Leave Record,No Sick Leave Record,3,0,100987,100864,No Sick Leave Record,100633,0,32,3,32.5,13,6,0,3.5
100521,Live,PW,CO,SALARIES,Mr. James Beard MD,No Grade,STAFF OFFICER,FINANCE & WATER SERVICES,PARKS,No Sick Leave Record,5,89,No Sick Leave Record,100075,101288,No Sick Leave Record,101336,0,30,0,25.5,15,No Annual Leave Record,3,16
100717,Live,PW,CO,SALARIES,Edward Erickson,4,SENIOR STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100317,100763,0,100616,0,30,4,26,19.5,9.5,0,8
100985,Live,PW,CO,SALARIES,Julian Taylor,4,DRIVER CLEANSING,"COMMUNITY, CULTURAL SERVICES & PARKS",LAW,No Sick Leave Record,0,0,0,100943,100231,No Sick Leave Record,100461,0,27,1,35,22,15,3,7
100288,Live,TW,CO,SALARIES,Justin Pennington,No Grade,ASSISTANT STAFF OFFICER,CORPORATE AFFAIRS,HOUSING,No Sick Leave Record,7.04,No Sick Leave Record,No Sick Leave Record,100435,100831,No Sick Leave Record,101357,0,No Annual Leave Record,No Annual Leave Record,37,18,4.5,0,16
100676,Live,PW,CO,SALARIES,Eddie Goodman,4,STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100148,100542,0,100172,0,30,0,27,No Annual Leave Record,8.5,3,No Annual Leave Record
101078,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Kelly Wells,No Grade,CLERICAL OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",HOUSING,No Sick Leave Record,0,No Sick Leave Record,0,101204,100430,0,100005,0,13.5,5,29,14,No Annual Leave Record,0,2
100688,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Monica Esparza,No Grade,EXECUTIVE ENGINEER,INFRASTRUCTURE & CLIMATE CHANGE,CORPORATE SERVICES,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100025,100725,No Sick Leave Record,100047,0,No Annual Leave Record,No Annual Leave Record,32.5,20,13,5,8.5
101126,Live,PW,CO,SALARIES,Michael Dean,5,LIBRARY ASSISTANT,HOUSING,CORPORATE SERVICES,No Sick Leave Record,1.11,No Sick Leave Record,No Sick Leave Record,100727,101169,0,101112,0,24,0,24,26,8,No Annual Leave Record,4
100753,Live,TW,CO,SALARIES,Craig Williams,4,DRIVER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101354,101119,0,101101,0,27,2,34,26,16.5,22,No Annual Leave Record
100283,Live,PW,CO,SALARIES,Anthony James,No Grade,SENIOR EXECUTIVE LIBRARIAN,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100145,100040,No Sick Leave Record,100501,0,30,0,35,2,12,3,9
100791,Live,PW,CO,SALARIES,Donna Thompson,No Grade,SENIOR EXECUTIVE ENGINEER,"COMMUNITY, CULTURAL SERVICES & PARKS",CULTURE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,101278,100417,No Sick Leave Record,100824,0,30,4,11,24,19,3,6
100061,Live,PW,CO,SALARIES,Jacob Haynes,No Grade,CLERICAL OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,PLANNING,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101028,100054,0,100873,0,28,5,30,26,2,3,6.5
100183,Live,PW,CO,SALARIES,Anne Clark,6,GENERAL OPERATIVE,"COMMUNITY, CULTURAL SERVICES & PARKS",ARCHITECTS,No Sick Leave Record,No Sick Leave Record,5,0,100950,100378,No Sick Leave Record,100805,0,28.5,5,No Annual Leave Record,24.5,28,3,6.5
101053,Live,PW,CO,SALARIES,Charles Villa,7,CLERICAL OFFICER,CORPORATE AFFAIRS,CULTURE,0,0.02,No Sick Leave Record,No Sick Leave Record,100921,100541,0,101261,No Annual Leave Record,29,5,34,12.5,16.5,0,8
101266,Live,TW,CO,FORTNIGHTLY WAGES - DLR,Edward Silva,6,EXECUTIVE PLANNER,FINANCE & WATER SERVICES,HOUSING,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100680,100675,1.5,101305,0,27.5,No Annual Leave Record,35,0,13.5,No Annual Leave Record,13.5
100662,Live,PW,CO,SALARIES,William Moore,6,CLERICAL OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0.57,No Sick Leave Record,No Sick Leave Record,100330,100600,0,101270,0,20.5,4.5,32.5,25,9,0,13
100397,Live,PW,CO,SALARIES,Kelsey Davis,6,SENIOR STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,IT,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100760,100906,2,100567,0,30,0,35,0,5.5,No Annual Leave Record,13
100625,Live,PW,CO,SALARIES,Lauren Hill,5,GENERAL OPERATIVE,HOUSING,CHERRYWOOD,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,0,100767,100025,0,100706,0,30,5,30,19,11,3,14.5
101140,Live,PW,CO,SALARIES,Willie Burns,No Grade,ASSISTANT STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,CULTURE,No Sick Leave Record,0,No Sick Leave Record,No Sick Leave Record,100014,101076,No Sick Leave Record,100136,0,5.5,0,No Annual Leave Record,15,No Annual Leave Record,5,14
101345,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Michael Flowers,No Grade,GRADUATE ENGINEER,PLANNING & ECONOMIC DEVELOPMENT,ENTERPRISE,No Sick Leave Record,No Sick Leave Record,0,0,101000,100109,0,100913,0,29,4,26,19,15,3,4.5
100722,,TW,CO,SALARIES,John Choi,6,EXECUTIVE ENGINEER,INFRASTRUCTURE & CLIMATE CHANGE,CORPORATE SERVICES,0,No Sick Leave Record,No Sick Leave Record,0,100100,101308,No Sick Leave Record,100971,0,24,1,37,7.5,17.5,20,9
100270,Live,PW,CO,SALARIES,Melissa Hess,4,GENERAL OPERATIVE,FORWARD PLANNING INFRASTRUCTURE,HOUSING,No Sick Leave Record,No Sick Leave Record,34,No Sick Leave Record,100735,100197,0,100900,0,24,3.5,35,19.5,20,9,9.5
101178,Live,PW,CO,SALARIES,Edwin Stuart,3,ADMINISTRATIVE OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,COMMUNITY,No Sick Leave Record,No Sick Leave Record,0,No Sick Leave Record,100904,100501,0,100181,0,24,No Annual Leave Record,35,5.5,14,0,11
100365,Live,PW,CO,SALARIES,Richard Garcia,7,FOREMAN TRADESMAN,CORPORATE AFFAIRS,PLANNING,No Sick Leave Record,0,0,No Sick Leave Record,100574,101152,No Sick Leave Record,100459,0,27,0.5,15,17,4.5,3,7
100037,,PW,CO,SALARIES,Ann Young,5,CLERICAL OFFICER,CORPORATE AFFAIRS,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,7.17,11,No Sick Leave Record,100413,101183,4,100807,0,17.5,0,28,27,11,3,0
101349,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Deborah Walters,No Grade,STAFF OFFICER,PLANNING & ECONOMIC DEVELOPMENT,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,3,0,101050,100129,No Sick Leave Record,100516,0,15,2,41,18.5,12.5,0,7
100671,Live,PW,CO,SALARIES,Thomas Walker,7,SENIOR STAFF OFFICER,"COMMUNITY, CULTURAL SERVICES & PARKS",INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,101088,100858,No Sick Leave Record,100383,0,30,5,34,13,17,10.5,No Annual Leave Record
100035,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Jacob Wang,No Grade,GANGER,INFRASTRUCTURE & CLIMATE CHANGE,CULTURE,0,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100546,100388,No Sick Leave Record,100936,No Annual Leave Record,17.5,3,29,26,9,3,3.5
101157,Live,PW,CO,SALARIES,Douglas Lewis,No Grade,ASSISTANT STAFF OFFICER,PLANNING & ECONOMIC DEVELOPMENT,CULTURE,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,No Sick Leave Record,100122,101363,No Sick Leave Record,100305,No Annual Leave Record,32,0,29,0,18,3,No Annual Leave Record
100070,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Denise Harrington,6,GENERAL OPERATIVE,INFRASTRUCTURE & CLIMATE CHANGE,CULTURE,No Sick Leave Record,2,0,No Sick Leave Record,100623,101068,1.48,100262,0,30,5,49,0,13,3,No Annual Leave Record
100525,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Tina Rodriguez,7,SENIOR STAFF OFFICER,FORWARD PLANNING INFRASTRUCTURE,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,No Sick Leave Record,0,101008,100311,No Sick Leave Record,100615,0,32,0,24,No Annual Leave Record,No Annual Leave Record,2.5,No Annual Leave Record
100123,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Mark Castillo,No Grade,SENIOR STAFF OFFICER,CORPORATE AFFAIRS,INFRASTRUCTURE & CLIMATE CHANGE,0,No Sick Leave Record,0,0,100570,100446,No Sick Leave Record,101205,0,30,5,32,23,8,5.5,4
100112,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Teresa Myers,No Grade,GENERAL OPERATIVE,CORPORATE AFFAIRS,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,0,0,100800,100107,No Sick Leave Record,100098,No Annual Leave Record,30,No Annual Leave Record,23.5,2.5,24,7,3.5
101257,Live,PW,CO,SALARIES,Ronald York,4,BUILDING INSPECTOR/ CLERK OF WORKS,CORPORATE AFFAIRS,PARKS,No Sick Leave Record,0.65,8.5,No Sick Leave Record,101331,100243,2.5,100091,0,30,0,28.5,1,No Annual Leave Record,11,18
100210,Live,PW,CO,SALARIES,Mitchell Rodriguez,7,CAREER BREAK,FORWARD PLANNING INFRASTRUCTURE,PLANNING,0,No Sick Leave Record,No Sick Leave Record,17,100744,101297,0,101012,0,24,No Annual Leave Record,13,19.5,No Annual Leave Record,3,7
100213,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Charles Ramirez,No Grade,ASSISTANT STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,WATER SERVICES,0,0,No Sick Leave Record,0,101212,100944,No Sick Leave Record,100597,0,32,3.5,33.5,18.5,19,3,5
100745,Live,PW,CO,SALARIES,Christine Sparks,7,SENIOR STAFF OFFICER,PLANNING & ECONOMIC DEVELOPMENT,PLANNING,0,0.36,No Sick Leave Record,No Sick Leave Record,101054,100747,No Sick Leave Record,101285,0,No Annual Leave Record,5,26,0,13,0,11
100264,Live,PW,CO,,Linda Harmon,3,STAFF OFFICER,INFRASTRUCTURE & CLIMATE CHANGE,FINANCE,No Sick Leave Record,1.02,No Sick Leave Record,0,101068,101328,No Sick Leave Record,101364,0,17.5,5,29,26,18,0,8.5
101258,Live,PW,CO,SALARIES,Christopher Allen,7,ASSISTANT STAFF OFFICER,FINANCE & WATER SERVICES,INFRASTRUCTURE & CLIMATE CHANGE,0,0,No Sick Leave Record,No Sick Leave Record,100883,100310,1,100511,0,28.5,1,27,No Annual Leave Record,15.5,9,5
101081,Live,PW,CO,SALARIES,Brian Vasquez,3,DRIVER CLEANSING,INFRASTRUCTURE & CLIMATE CHANGE,HOUSING,0,29,0,No Sick Leave Record,100542,100696,0,100666,0,15,No Annual Leave Record,No Annual Leave Record,0,8,No Annual Leave Record,16
100695,Live,PW,CO,FORTNIGHTLY WAGES - DLR,Tyler Curtis,7,ASSISTANT STAFF OFFICER,HOUSING,INFRASTRUCTURE & CLIMATE CHANGE,No Sick Leave Record,0,0,No Sick Leave Record,100636,100617,No Sick Leave Record,100997,0,30,3,31,6,5.5,11,5
